"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.699441779E0,-3.924229145E-1,9.547661781E0,-4.328017831E-1
1.718785113E0,-3.014956415E-1,9.593125343E0,-3.035893738E-1
1.738128498E0,-4.139583111E-1,9.526125908E0,-6.481558084E-1
1.757471883E0,-3.996013701E-1,9.700801849E0,-9.544371367E-1
1.776815269E0,-6.723831892E-1,9.617053032E0,-1.406680584E0
1.796158654E0,-6.269195080E-1,9.416056633E0,-1.220040441E0
1.815501988E0,-1.076770201E-1,9.571589470E0,-8.443672657E-1
1.834845373E0,1.316052526E-1,9.770194054E0,-1.205683470E0
1.854188758E0,-3.349951655E-2,9.609874725E0,-1.519143224E0
1.873532144E0,-2.775674164E-1,9.408877373E0,-1.375573874E0
1.892875477E0,-3.158525825E-1,9.521340370E0,-1.605284929E0
1.912218863E0,-1.579262912E-1,9.684052467E0,-1.720140338E0
1.931562248E0,-1.603191197E-1,9.650552750E0,-1.899602056E0
1.950905633E0,-2.919243574E-1,9.425627708E0,-2.229811668E0
1.970248967E0,-1.627119333E-1,9.372985840E0,-1.746461391E0
1.989592352E0,-9.810572863E-2,9.585947037E0,-1.588535190E0
2.008935738E0,-2.751746178E-1,9.717552185E0,-2.016850471E0
2.028279123E0,-3.708875179E-1,9.669695854E0,-1.897209287E0
2.047622456E0,-2.919243574E-1,9.344271660E0,-1.925923109E0
2.066965842E0,-2.512463629E-1,9.425627708E0,-1.866102576E0
2.086309227E0,-5.000999570E-1,9.693623543E0,-2.091027975E0
2.105652561E0,-7.728816867E-1,9.617053032E0,-2.222633123E0
2.124995946E0,-7.657032609E-1,9.384949684E0,-1.882852316E0
2.144339331E0,-6.364908218E-1,9.416056633E0,-2.057528257E0
2.163682665E0,-8.279166222E-1,9.696016312E0,-2.129312992E0
2.183026050E0,-1.055234790E0,9.454340935E0,-2.028814554E0
2.202369436E0,-6.987041831E-1,9.217452049E0,-1.878066659E0
2.221712821E0,-6.388836503E-1,9.250951767E0,-1.533500195E0
2.241056154E0,-5.335994363E-1,9.468698502E0,-1.665105462E0
2.260399540E0,-7.298108935E-1,9.590732574E0,-1.674676776E0
2.279742925E0,-1.112662554E0,9.380164146E0,-1.756032705E0
2.299086258E0,-1.031306505E0,9.097810745E0,-1.684248090E0
2.318429644E0,-9.212366939E-1,9.193523407E0,-1.846959949E0
2.337773029E0,-1.182054400E0,9.361021042E0,-2.124527454E0
2.357116363E0,-1.428515077E0,9.255737305E0,-1.787139416E0
2.376459748E0,-1.378265858E0,9.169595718E0,-1.557428479E0
2.395803133E0,-1.258624673E0,9.241379738E0,-1.612463355E0
