Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
7.192953133,-6.620940208,2.819044113,-9.594920158
7.212296467,-7.881958008,4.558626175,-9.202496529
7.2316398,-9.913464546,9.60030365,-7.051349163
7.250983133,-10.50688457,10.86371422,-6.378965855
7.270326467,-6.403193474,7.79372263,-5.259125233
7.2896698,-3.40498662,8.157431602,-1.990529299
7.309013133,0.978664458,10.4473629,0.754038215
7.328356467,3.945764542,10.8804636,-1.375573874
7.347699748,2.713460922,9.944869995,-2.72512579
7.367043081,-0.914058268,8.942276955,-3.76361084
7.386386415,-2.598605394,8.396714211,-2.722733021
7.405729748,-2.230110645,8.485248566,-1.890030742
7.425073081,-1.435693622,9.002098083,-2.86630249
7.444416415,0.442672193,9.540482521,-2.983550787
7.463759748,1.265803218,9.593125343,-2.481057882
7.483103081,0.856630504,9.435198784,-1.832603097
7.502446415,-0.600598454,9.241379738,-1.801496387
7.521789748,-2.605783939,9.231808662,-2.184347868
7.541133081,-3.024527788,9.042776108,-2.883052111
7.560476363,-1.897508383,9.16720295,-2.643769979
7.579819696,-1.079162955,9.588339806,-2.701197624
7.599163029,-1.1820544,9.937691689,-3.407080412
7.618506363,-1.450050473,10.35882854,-3.210868835
7.637849696,-1.691725612,10.66989517,-3.050549746
7.657193029,-1.641476393,10.97378349,-3.005086184
7.676536363,-1.028913736,11.03360462,-2.859123945
7.695879696,-0.179461703,10.99053383,-2.627020121
7.715223029,0.023928227,10.89721298,-2.722733021
7.734566363,-0.433100909,11.48584747,-2.646162748
7.753909644,-0.246460736,13.08664608,-4.060320854
7.773252977,-1.16769743,14.29741478,-4.474279404
7.792596311,-0.756131947,13.67528057,-6.749853611
7.811939644,0.629312336,13.20628738,-3.746861219
7.831282977,-0.887737215,11.05992508,-2.976372242
7.850626311,-2.433500528,10.14347458,-5.275874615
7.869969644,-4.737788677,9.026025772,-4.591527462
7.889312977,-7.628318787,6.362814426,1.069890857
7.908656311,-9.159725189,4.223630905,0.598504782
7.927999592,-7.666603565,3.460320711,0.545862675
7.947342925,-7.52782011,2.792723179,3.539283752
7.966686258,-7.034898758,1.526919961,3.364607811
7.986029592,-5.694917679,1.11296165,1.763809443
8.005372925,-5.347958565,2.110768557,1.165603757
8.024716258,-6.66640377,3.443570852,-0.528514683
8.044059592,-8.405985832,4.704588413,-2.454736948
8.063402873,-8.860622406,4.797908306,-2.167598248
8.082746206,-8.683553696,3.984348774,-0.928116083
8.10208954,-7.269395351,4.001098633,-1.669891119
8.121432873,-4.462614059,6.121139526,-0.344267368
8.140776206,-1.160519004,9.418449402,0.45732823
8.16011954,-1.287338614,10.75125122,-0.564407051
8.179462873,-2.809173822,10.27268696,-1.086042404
8.198806154,-2.120040894,10.34686375,-2.703590393
8.218149488,-0.629312336,12.14865971,-3.017050266
8.237492821,-0.514456868,12.95982647,-4.153641224
8.256836154,-0.02632105,12.40229893,-1.791925073
8.276179488,0.966700375,10.3348999,-0.026021946
8.295522821,2.426322222,8.365607262,-0.942472994
8.314866102,2.043470621,8.379963875,-3.866502285
8.334209436,0.181854516,9.497411728,-4.043570995
8.353552769,-0.557527661,9.447162628,-1.09322083
8.372896102,-0.928415179,10.16740227,-0.310767829
8.392239436,4.599005222,17.15683746,-3.045764208
8.411582769,16.05583954,22.0932312,16.63041687
8.43092605,3.682554007,7.197909832,-1.947458506
8.450269383,-6.338587284,2.558226585,-10.22183895
8.469612717,-6.924828529,4.044169426,-9.803094864
8.48895605,-10.66720295,8.478069305,-8.855537415
8.508299383,-13.24188042,10.62682438,-9.953843117
8.527642665,-7.489534855,8.425427437,-7.053741932
8.546985998,-2.663211584,8.248358727,-0.72472614
8.566329331,3.132204771,10.2774725,2.816651344
8.585672665,7.111468792,11.03599739,-2.287239313
8.605015998,5.166104317,9.992726326,-3.77796793
8.624359279,-0.885344386,8.588139534,-3.96939373
8.643702613,-4.587040901,8.391927719,-2.878266573
8.663045946,-5.168497086,8.202895164,-2.122134686
8.682389279,-4.307080746,8.236394882,-3.914358854
8.701732561,-0.445065022,9.545269012,-3.844966888
8.721075894,2.20618248,10.04058266,-2.945265532
8.740419227,2.388036966,9.664909363,-1.559821248
8.759762561,0.248853549,9.212666512,-1.100399256
8.779105894,-3.163311481,9.160024643,-2.287239313
8.798449175,-4.386044025,9.035597801,-3.399901867
8.817792508,-3.550948858,8.844171524,-3.115155935
8.837135842,-1.940579176,9.10977459,-2.997907639
8.856479175,-0.576670229,9.751050949,-3.447758436
8.875822508,0.145962179,10.53589725,-3.500400543
8.89516579,-0.315852582,10.59332466,-3.500400543
8.914509123,-0.468993247,10.7799654,-2.655734062
8.933852456,-0.428315252,11.51934719,-2.215454578
8.95319579,-1.002592683,11.74427223,-2.823231697
8.972539071,-0.720239639,11.45952702,-2.619841576
8.991882404,0.014356935,12.22523022,-2.433201551
9.011225738,0.844666421,14.72572994,-3.462115288
9.030569071,0.433100909,16.55145264,-4.419244289
9.049912352,2.679961443,15.06790352,-4.629812717
9.069255686,3.924229145,11.12931728,-3.371187925
9.088599019,0.397208571,10.81825066,-4.658526421
9.107942352,-5.402993679,9.947262764,-4.17517662
9.127285633,-8.159524918,8.123931885,-1.007079244
9.146628967,-10.75095177,5.637789249,-2.086242199
9.1659723,-11.90190029,3.919742584,-2.96201539
9.185315633,-11.13619614,2.32851553,1.641775489
9.204658915,-10.28674412,0.742074132,2.201695919
9.224002248,-8.271987915,-0.00209372,2.144268274
9.243345581,-5.852844238,-0.375374049,2.996113062
9.262688915,-3.704089403,-0.2222334,3.0008986
9.282032196,-3.385843992,0.739681304,2.070090771
9.301375529,-5.575276852,2.383550406,-0.191126704
9.320718863,-7.472784996,4.529912472,-3.098406315
9.340062144,-7.135396957,5.350650311,-1.449751377
9.359405477,-6.515655994,5.309972763,0.687039196
9.378748811,-3.780659676,7.398906708,0.629611433
9.398092144,-0.174676046,10.83500004,-0.104985096
9.417435425,0.978664458,13.89781284,-1.89242363
9.436778758,-1.00737834,14.16102314,-3.311367512
9.456122092,-2.538784742,12.48365498,-3.962215185
9.475465425,-1.990828395,10.81585789,-3.447758436
9.494808706,-1.476371527,10.4473629,-2.093420744
9.51415204,-0.605384111,10.65793133,-2.038385868
9.533495373,1.624726534,10.51675415,-1.803889155
9.552838654,2.71824646,8.791529655,-1.990529299
9.572181988,2.136790514,8.138288498,-2.351845503
9.591525321,0.440279365,8.557032585,-1.571785331
9.610868602,-0.945164919,10.25354385,-2.794517756
9.630211936,2.567498684,21.74627113,-5.237589836
9.649555269,11.03809071,22.53111649,17.42004776
9.66889855,2.591426849,5.345864773,1.876272082
9.688241883,-5.326423168,0.387936383,-6.118148327
9.707585217,-6.55394125,2.933899641,-8.575576782
9.72692855,-12.63171101,9.566803932,-12.65294743
9.746271831,-16.35255051,12.27308655,-14.58156204
9.765615165,-7.252645493,7.573582649,-4.486243248
9.784958498,-1.203589797,7.284051418,1.364207983
9.804301779,3.302095175,10.20329475,1.52931273
9.823645113,7.49910593,11.98834038,-2.928515911
9.842988446,6.431907177,10.385149,-4.077070713
9.862331727,0.299102843,8.513961792,-3.529114246
9.881675061,-3.888336897,8.312965393,-2.813660383
9.901018394,-4.620540619,8.492426872,-2.062314034
9.920361675,-3.804588079,8.848957062,-3.37836647
9.939705008,-0.873380244,9.588339806,-3.66789794
9.959048342,1.995614052,9.731908798,-2.753839731
9.978391623,2.823530674,9.578767776,-1.68424809
9.997734956,1.708475351,9.193523407,-1.610070586
10.01707829,-0.983450115,9.174381256,-1.968993902
10.03642157,-3.943371773,9.432806015,-2.658126831
10.0557649,-4.345366001,9.459127426,-3.112763166
10.07510824,-2.471785784,9.296415329,-3.040978432
10.09445152,-0.342173636,9.672088623,-2.976372242
10.11379485,0.342173636,10.58375359,-3.201297522
10.13313819,-0.318245411,10.75364399,-3.486043453
10.15248147,-0.971485972,10.74646568,-3.421437263
10.1718248,-0.758524776,11.01446152,-2.088634968
10.19116813,-0.162711933,11.22263718,-1.23679018
10.21051142,0.196211457,11.27049351,-1.710569143
10.22985475,0.122033954,11.86152077,-2.378166676
10.24919803,-0.258424848,13.64417362,-3.629612923
10.26854136,-0.861416161,14.52951813,-3.18694067
10.2878847,-0.174676046,13.52453232,-5.601298809
10.30722798,1.732403636,12.51715469,-2.823231697
10.32657131,-0.52642101,10.40189934,-2.370988131
10.34591464,-4.302295208,10.30857944,-5.531907082
10.36525793,-6.580262184,10.00947666,-4.948058128
10.38460126,-6.812366009,7.296015263,-0.327517599
10.40394459,-7.613961697,4.175774574,-0.992722273
10.42328787,-8.214560509,2.831008196,-1.899602056
10.44263121,-8.573483467,2.335694075,0.210867494
10.46197454,-8.970691681,1.390529037,1.223031521
10.48131782,-7.843672752,0.565005243,1.680060625
10.50066115,-6.635297298,0.531505704,1.589133382
10.52000444,-5.481956482,1.46470654,0.734895647
10.53934777,-5.513063431,2.589333296,-0.0738784
10.5586911,-6.250052929,3.78335166,-0.858724236
10.57803438,-6.448657036,4.436592102,-1.442572951
10.59737772,-6.403193474,4.599304199,-0.566799879
10.61672105,-6.04187727,5.802894115,0.012263216
10.63606433,-4.271188259,8.880064011,-0.425623327
10.65540767,-2.940778971,11.25613689,-1.490429401
10.67475095,-3.177668571,11.47866917,-3.900001764
10.69409428,-2.596212626,11.11974621,-4.067499161
10.71343761,-0.897308469,12.55783272,-1.401894927
10.73278089,-0.095712908,12.38315582,-2.722733021
10.75212423,1.019342422,10.98335457,-0.913759172
10.77146751,2.859423161,9.825228691,0.127118707
10.79081084,4.122833252,9.085846901,-1.160219908
10.81015418,2.840280533,9.08823967,-2.914158821
10.82949746,0.294317186,9.205488205,-2.543271303
10.84884079,-0.815952539,8.997312546,-0.602692187
10.86818407,-0.736989379,12.29701424,-7.79073143
10.8875274,13.3902359,23.74667168,9.270093918
10.90687074,10.33220863,14.98176193,9.736694336
10.92621402,-5.716453075,2.534298182,-6.410072803
10.94555735,-10.08335495,1.826022744,-10.58315563
10.96490063,-11.33240795,6.391528606,-9.078069687
10.98424397,-15.50309753,10.95703411,-8.836395264
11.0035873,-8.87258625,9.061918259,-7.907979965
11.02293058,-2.770888567,7.800900936,-4.615455627
11.04227392,0.770488918,9.662516594,1.536491275
11.0616172,4.606183529,11.00728321,0.093619183
11.08096053,6.209374905,11.19153023,-3.514757395
11.10030381,1.332802176,9.389735222,-4.826024055
11.11964714,-3.751945972,8.315358162,-2.801696301
